編號 F0010001A2007_1_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_10_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_100_07 的CER： 0.0000, SER: 0.0000
編號 F0010001A2007_101_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_102_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_103_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_104_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_105_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_106_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_107_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_108_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_109_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_11_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_110_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_111_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_112_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_113_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_114_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_115_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_116_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_117_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_118_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_119_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_12_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_120_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_121_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_122_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_123_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_124_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_125_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_126_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_127_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_128_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_129_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_13_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_130_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_131_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_132_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_133_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_134_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_135_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_136_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_137_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_138_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_139_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_14_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_140_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_141_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_142_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_143_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_144_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_145_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_146_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_147_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_148_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_149_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_15_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_150_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_151_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_152_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_153_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_154_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_155_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_156_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_157_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_158_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_159_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_16_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_160_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_161_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_162_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_163_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_164_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_165_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_166_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_167_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_168_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_169_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_17_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_170_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_171_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_172_07 的CER： 1.0000, SER: 1.0000
